6:10 PM,,,,,,Presentation,,2,the challenge,,,,,,,,,,,,Multi Media,,,,,,,,,,,,,Judging,,,,,,,,,,
6:20 PM,,,,,,,,interviews right,+interviews,,,Interview,,,,,,,,,Presentation,,,,,,,,,,,,,,Judging,,,,,,,,,
6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:40 PM,,,,,,,,CO2 Research ,,,,,,,Setup Time,,Setup Time,,,,,,,,,,,,,,,,,,,Judging,,,,,,,,
6:50 PM,,,,,,,,Racer            5,,,,,,,Race Time,,MS 2 / 2,,,,,,,,,,,,,,,,,,,,Judging,,,,,,,
7:00 PM,,,,,,,,Hot Rod CO2 (5),,,,,Judging Project,,,,HS 31 / 9,,,,,,,,"Hosted by Mr, Zercher",,,,,,,,,,,,,Judging,,,,,,
7:10 PM,,,,,,,,Prelims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,,,
7:20 PM,,,,,,,,13,,,,,Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,,
7:30 PM,,,,,,,,Interview room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,
7:40 PM,,,,,,,,E1506 @ 610P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,
7:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:10 PM,,,,,,,,Semi-Finalists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:20 PM,,,,,,,,Posted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:30 PM,,,,,,,,Interviews (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
